date,portfolio_value,cash,MSFT,NVDA,AAPL,AMZN,GOOGL,META
2019-08-12 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-13 00:00:00-04:00,117892.68012714386,117892.68012714386,0,0,0,0,0,0
2019-08-14 00:00:00-04:00,114875.87003612518,29729.98261165619,112,3800,292,161,247,78
2019-08-15 00:00:00-04:00,115041.93755626678,29729.98261165619,112,3800,292,161,247,78
2019-08-16 00:00:00-04:00,116996.64366817474,29729.98261165619,112,3800,292,161,247,78
2019-08-19 00:00:00-04:00,119211.93369960785,29729.98261165619,112,3800,292,161,247,78
2019-08-20 00:00:00-04:00,118305.81721019745,29729.98261165619,112,3800,292,161,247,78
2019-08-21 00:00:00-04:00,119203.46356487274,29729.98261165619,112,3800,292,161,247,78
2019-08-22 00:00:00-04:00,118837.0347700119,29729.98261165619,112,3800,292,161,247,78
2019-08-23 00:00:00-04:00,115582.79177761078,29729.98261165619,112,3800,292,161,247,78
2019-08-26 00:00:00-04:00,116931.04053783417,29729.98261165619,112,3800,292,161,247,78
2019-08-27 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-08-28 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-08-29 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-08-30 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-03 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-04 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-05 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-06 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-09 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-10 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-11 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-12 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-13 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-16 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-17 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-18 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-19 00:00:00-04:00,116931.04053783417,116931.04053783417,0,0,0,0,0,0
2019-09-20 00:00:00-04:00,115858.10080242157,29368.784037590027,109,3320,274,160,237,77
2019-09-23 00:00:00-04:00,115827.33582401276,50869.207478523254,82,2490,206,120,178,58
2019-09-24 00:00:00-04:00,115298.02082395554,83348.271651268,41,1245,103,60,89,29
2019-09-25 00:00:00-04:00,115881.12625980377,83348.271651268,41,1245,103,60,89,29
2019-09-26 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-09-27 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-09-30 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-10-01 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-10-02 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-10-03 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-10-04 00:00:00-04:00,115881.12625980377,115881.12625980377,0,0,0,0,0,0
2019-10-07 00:00:00-04:00,115816.02965641022,29252.149819374084,110,3200,264,166,240,80
2019-10-08 00:00:00-04:00,114334.68259525299,29252.149819374084,110,3200,264,166,240,80
2019-10-09 00:00:00-04:00,115498.05622196198,29252.149819374084,110,3200,264,166,240,80
2019-10-10 00:00:00-04:00,116284.79363441467,0.9521093368530273,274,4918,264,166,240,80
2019-10-11 00:00:00-04:00,117689.84044361115,0.9521093368530273,274,4918,264,166,240,80
2019-10-14 00:00:00-04:00,117689.999584198,0.9521093368530273,274,4918,264,166,240,80
2019-10-15 00:00:00-04:00,119035.09577989578,58845.475846767426,137,2459,132,83,120,40
2019-10-16 00:00:00-04:00,118794.34935379028,58845.475846767426,137,2459,132,83,120,40
2019-10-17 00:00:00-04:00,118868.21085739136,58845.475846767426,137,2459,132,83,120,40
2019-10-18 00:00:00-04:00,117288.8010673523,48.68906879425049,292,7378,387,83,120,40
2019-10-21 00:00:00-04:00,117288.8010673523,117288.8010673523,0,0,0,0,0,0
2019-10-22 00:00:00-04:00,116398.77576255798,31.420178413391113,223,6013,505,328,1,0
2019-10-23 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-24 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-25 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-28 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-29 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-30 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-10-31 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-01 00:00:00-04:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-04 00:00:00-05:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-05 00:00:00-05:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-06 00:00:00-05:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-07 00:00:00-05:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-08 00:00:00-05:00,116398.77576255798,116398.77576255798,0,0,0,0,0,0
2019-11-11 00:00:00-05:00,116481.84065532684,56.99403095245361,209,5630,462,325,3,0
2019-11-12 00:00:00-05:00,116948.8498134613,56.99403095245361,209,5630,462,325,3,0
2019-11-13 00:00:00-05:00,116782.15471696854,29140.1286444664,157,4223,347,244,3,0
2019-11-14 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-15 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-18 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-19 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-20 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-21 00:00:00-05:00,116782.15471696854,116782.15471696854,0,0,0,0,0,0
2019-11-22 00:00:00-05:00,117060.58876085281,53.91368913650513,204,5584,460,336,3,0
2019-11-25 00:00:00-05:00,118429.35516786575,58525.06336259842,102,2792,230,168,2,0
